stars,review,district,governorate
1,"أنا مش راضيا خالص على خدمات التموين, لأن دايما بنواجه مشاكل كتير مع التوصيل والتلفاز بيبقى مكسور والميكروويف كمان! ده غير الأسعار المرتفعة اللي بتزيد كل شهر. أتمنى لو يتحسن الوضع قريب علشان نقدر نستمتع بالخدمة بالشكل الصحيح.",جمعية الواحة,السويس
2,"أنا مش عارف أقول إيه عن خدمة التموين دي, لكن بصراحة هي مفيهاش أي فائدة للناس اللي بتستخدمها. كل يوم بنقابل مشاكل مع الموظفين وبنتعب كتير علشان نحصل على الحاجات الأساسية لنا ولأسرنا. المفروض الحكومة تهتم بأهلها أكثر من كده!",جمعية طيبة للضيافة,الجيزة
4,"أنا عايز أقول لك إنك بتعمل مجهود كبير عشان توصلنا للحلول, بس ده مش كافي خالص. احنا محتاجين نقدر على الأقل نأكل كويس ونرتاح شوية بعد يوم طويل ومليء بالمجهود. ربنا معاك.",مكتب الرابطة التعاونية لتنمية الريف,المنوفية
4,"أنا سعيد جدا لأن خدمات التموين في محافظتنا بتتحسن بشكل تدريجي, بس هي مش تمام بعد. كنت عايز أقول للناس اللي بيستخدموا الموقع الاجتماعي إنهم يحطوا تقييمهم بناء على تجربتهم الشخصية وليس بناء على آراء الآخرين. وكمان أتمنى لو الحكومة تقدر توفر المزيد من الخيارات للأكل الصحي والأقل سعرا للأشخاص الغلابة.",جمعية طيبة للأغذية,المنوفية
1,"أنا مش راضي خالص على خدمات التموين دي, لأنها دائما متأخرة وفي بعض الأحيان مفيش أصلا! أتمنى لو الحكومة تهتم أكثر بيقواتنا وتوصيل الحاجات اللي بنحتاجها صح وبسرعة.",مكتب الرابطة التعاونية لتنمية الريف,المنوفية
1,"أنا مش بحب الأكل من المطاعم اللي في المحافظة, لأنهم دايما بيشتغلوا بدون معايير صحية سليمة ومش بيفرزوا بشكل صحيح. لو كانوا بيعملوها صح كان أحسن بكتير.",مؤسسة الغذاء الصحي بالقاهرة,القاهرة
4,"أنا سعيد جدا بخدمة التموين في دقهلية, لكن أعتقد أنها يمكن تحسينها شوية. لو كانوا يوفروا أكثر أصناف الطعام زي الأرز والفول والعدس, كان أفضل. ولكن على أي حال, شكرا للخدمة اللي تقدمها!",مكتب السعادة,الدقهلية
2,"أنا مش عارف أعمل حاجة مع خدمات التموين دي, كل مرة أروح فيها أتأخر كتير جدا وأتعرض للضغوط النفسية!",مكتب التعاون الغذائي,الإسكندرية
4,أنا سعيد جدآ بأن خدمتكم كانت جيدة ولكن أتمنى لو كان هناك المزيد من الخيارات المتاحة على القائمة لأن بعض الأشياء مش موجودة. شكرا جزيلا لكم!,مؤسسة طعام البوابة الجديدة,بورسعيد
1,"أنا مش عارفة أتكلم كتير, بس دلوقتي في مشكلة كبيرة مع خدمة التموين هنا في المحافظة. بنلاقي صعوبة شديدة في الحصول على السلع الأساسية علشان نعيش حياتنا الطبيعية. لازم الحكومة تعمل حاجة عشان الناس تقدر تعيش بكرامة.",اتحاد التموين البحري في المحافظة,البحيرة
