stars,review,district,governorate,clean_review,predicted_sentiment
1,"أنا مش عارف أحكم على خدمتك كويس, بس لو كانت واحدة من أسوأ الخدمات اللي واجهتها في حياتي فحد حد! يعني هيبقى لي نفس طعم الأكل مع الجوع خالص. يا ريت تفكر تانى وتصلح الأمر قبل ما الناس تلغي متابعتها لك.",مكتب أطلال,الجيزة,أنا مش عارف أحكم على خدمتك كويس بس لو كانت واحدة من أسوأ الخدمات اللي واجهتها في حياتي فحد حد يعني هيبقى لي نفس طعم الأكل مع الجوع خالص يا ريت تفكر تانى وتصلح الأمر قبل ما الناس تلغي متابعتها لك,Negative
4,"أنا سعيد بخدمة التموين في الدقهلية, لكن بصراحة, يمكن تحسينها شوية. هي كويسة بالنسبة لي دلوقتي, بس لو كانوا يعملوا معايا زي الناس التانيين هكون راضي أكثر. أتمنى أنهم يقدرون على التطوير والتحديث عشان نقدر نستفيد منها كلنا.",مكتب الأغذية المتكاملة,الدقهلية,أنا سعيد بخدمة التموين في الدقهلية لكن بصراحة يمكن تحسينها شوية هي كويسة بالنسبة لي دلوقتي بس لو كانوا يعملوا معايا زي الناس التانيين هكون راضي أكثر أتمنى أنهم يقدرون على التطوير والتحديث عشان نقدر نستفيد منها كلنا,Positive
1,أنا مش عارفة ليه بنشوف حاجات كويسة جدا على الورق ونلاقى الواقع تمام التاني! احنا محتاجين نركز أكثر شوية على تقديم خدمات أفضل للمواطن العادي عشان نقدر نساعد بلدنا بجد.,مكتب النهضة,الإسماعيلية,أنا مش عارفة ليه بنشوف حاجات كويسة جدا على الورق ونلاقى الواقع تمام التاني احنا محتاجين نركز أكثر شوية على تقديم خدمات أفضل للمواطن العادي عشان نقدر نساعد بلدنا بجد,Negative
1,"أنا مش راضي خالص على الخدمة دي, بصراحة! هي بقت أسوأ بكتير بعد ما الحكومة دمجت نظام التموين مع البطاقة الذكية. دلوقتي بنشوف مشاكل كتير بتظهر بسبب البطء الشديد في تنفيذ الأوامر والبيانات الخاطئة اللي بتبقى موجودة على النظام الإلكتروني. وأكيد هقولكم إن الأسعار ارتفعت بشكل جنوني كمان, حتى لو كان الدعم موجود. والله المستعان!",جمعية مطبخ الحياة,بورسعيد,أنا مش راضي خالص على الخدمة دي بصراحة هي بقت أسوأ بكتير بعد ما الحكومة دمجت نظام التموين مع البطاقة الذكية دلوقتي بنشوف مشاكل كتير بتظهر بسبب البطء الشديد في تنفيذ الأوامر والبيانات الخاطئة اللي بتبقى موجودة على النظام الإلكتروني وأكيد هقولكم إن الأسعار ارتفعت بشكل جنوني كمان حتى لو كان الدعم موجود والله المستعان,Negative
5,"أنا سعيد جدا بالخدمة اللي قدمتها وزارة التموين, بجد كانت ممتازة ومش هتقدر تاخد منها خمس نجوم لو كنت تقييمها بنفسك! كل الحاجات المطلوبة وصلتلي في الوقت المحدد وبالكامل كمان, وأنا مش عارف أقولكم كم أقدر مجهودات الحكومة عشان توفر خدمات زي دي للمواطنين. شكرا جزيلا!",مكتب الطعام الصحي,الإسكندرية,أنا سعيد جدا بالخدمة اللي قدمتها وزارة التموين بجد كانت ممتازة ومش هتقدر تاخد منها خمس نجوم لو كنت تقييمها بنفسك كل الحاجات المطلوبة وصلتلي في الوقت المحدد وبالكامل كمان وأنا مش عارف أقولكم كم أقدر مجهودات الحكومة عشان توفر خدمات زي دي للمواطنين شكرا جزيلا,Positive
4,أنا سعيد جدا بالمنتج الذي قدمته لي اليوم. كان لذيذ ومليء بالنكهات المختلفة التي أحبها. شكرا لك على هذا الجهد الرائع!,الجمعية التعاونية للغذاء,بني سويف,أنا سعيد جدا بالمنتج الذي قدمته لي اليوم كان لذيذ ومليء بالنكهات المختلفة التي أحبها شكرا لك على هذا الجهد الرائع,Positive
3,"أنا سعيد جدا بتقديم تعليقي على خدمة التموين في محافظتنا. بصراحة, لم يكن الأمر يستحق كل هذا العناء! كان الطعام الذي تناولناه سيء الجودة وغير طازج تماما. كنا ننتظر منذ الصباح الباكر حتى نحصل عليه, لكن النتيجة كانت مخيبة للآمال للغاية. أتمنى لو أنني لم أقم بذلك.  10/10",جمعية غذاء الحياة,المنوفية,أنا سعيد جدا بتقديم تعليقي على خدمة التموين في محافظتنا بصراحة لم يكن الأمر يستحق كل هذا العناء كان الطعام الذي تناولناه سيء الجودة وغير طازج تماما كنا ننتظر منذ الصباح الباكر حتى نحصل عليه لكن النتيجة كانت مخيبة للآمال للغاية أتمنى لو أنني لم أقم بذلك,Positive
2,"أنا مش عارف أعمل حاجة, كل مرة بتوصلني الحاجات دي وبتبقى متأخرة جدا! بجد لازم يتعدل الوضع ده قبل ما أطلع من هنا للأبد.",مكتب سمير للتموين,الجيزة,أنا مش عارف أعمل حاجة كل مرة بتوصلني الحاجات دي وبتبقى متأخرة جدا بجد لازم يتعدل الوضع ده قبل ما أطلع من هنا للأبد,Negative
2,"أنا مش راضي على الخدمات هنا, هما بيقدموا أكل كويس بس فيه كتير مشاكل بتحدث معاهم, لازم يتحسنوا أكتر.",الجمعية المصرية لتغذية الأسرة,البحيرة,أنا مش راضي على الخدمات هنا هما بيقدموا أكل كويس بس فيه كتير مشاكل بتحدث معاهم لازم يتحسنوا أكتر,Positive
4,"أنا سعيد جدا بالتغذية الراجعة الإيجابية حول خدمات التموين في المحافظة الشرقاوية! لقد ساعدتني كثيرا في توفير الوقت والجهد عند الذهاب إلى الأسواق لشراء الطعام والطعام الطازج كل يوم. شكرا جزيلا على هذا التقييم الإيجابي, وأتمنى أن يستمر الدعم المستمر لهذه الخدمات القيمة التي تقدمها الحكومة للمواطنين المصريين. #دعم_خدمات_التموين #الشرقاوية_تنتصر",مكتب نور المتحدة للتموين,الشرقية,أنا سعيد جدا بالتغذية الراجعة الإيجابية حول خدمات التموين في المحافظة الشرقاوية لقد ساعدتني كثيرا في توفير الوقت والجهد عند الذهاب إلى الأسواق لشراء الطعام والطعام الطازج كل يوم شكرا جزيلا على هذا التقييم الإيجابي وأتمنى أن يستمر الدعم المستمر لهذه الخدمات القيمة التي تقدمها الحكومة للمواطنين المصريين دعمخدماتالتموين الشرقاويةتنتصر,Positive
