الشباك اتحل بسرعة والموظفة مبتسمة.,Cairo,Nasr City,Positive
الطابور كان واقف بدون أي ترتيب.,Cairo,Heliopolis,Negative
استلمت حصتي زي المعتاد من غير زيادات.,Cairo,Maadi,Neutral
الموظف شكرني وساعدني في تحميل الكراتين.,Cairo,Downtown Cairo,Positive
مفيش مية سقع للناس اللي واقفة.,Cairo,Zamalek,Negative
الخطوات نفسها كل زيارة مفيش تغيير.,Cairo,New Cairo,Neutral
التاجر قدم عروض إضافية لأول مرة.,Cairo,Shubra,Positive
العاملين كانوا مشدودين ومش بيتكلموا بذوق.,Cairo,El Marg,Negative
المعاملات كانت رسمية زي كل مرة.,Cairo,15th of May City,Neutral
الموظفة سألتني لو محتاج أي حاجة تانية.,Cairo,Ain Shams,Positive
المكان مزحم ومفيش تهوية.,Cairo,Badr City,Negative
المنفذ بيشتغل بنفس الروتين المعتاد.,Cairo,Shorouk City,Neutral
المسئول اتصل يتأكد من رضانا عن الخدمة.,Cairo,Mokattam,Positive
الناس اتخانقت على الدور ومافيش رقابة.,Cairo,El Rehab,Negative
الورق اتراجع في خمس دقايق كالعادة.,Cairo,Helwan,Neutral
المنفذ وزع عصير بارد للمنتظرين.,Cairo,El Salam City,Positive
العامل رفض يسمع الشكوى ولف وشه.,Cairo,El Matareya,Negative
الدفتر اتختم واستلمت الورق من غير مشاكل.,Cairo,Hadayek El Kobba,Neutral
التاجر حجز كرسي للست الكبيرة.,Cairo,El Basateen,Positive
الطرقة كانت مليانة تراب ومحدش نظف.,Cairo,El Sayeda Zeinab,Negative
الدور اتحرك ببطء لكن ثابت.,Cairo,El Darb El Ahmar,Neutral
الموظفين رحبوا بينا من أول لحظة.,Cairo,El Khalifa,Positive
المنفذ فضل مقفول فترة طويلة.,Cairo,Old Cairo,Negative
التوزيع تم بنفس التسلسل المسجل.,Cairo,Boulaq,Neutral
البياع شكر الناس واحدة واحدة.,Giza,Dokki,Positive
المنتجات منتهية الصلاحية على الرف.,Giza,Haram,Negative
المعاملة كانت اعتيادية من غير تجديد.,Giza,Faisal,Neutral
التاجر وفر ميزان احتياطي للتأكد.,Giza,6th of October City,Positive
الطابور خرج برا البوابة.,Giza,Imbaba,Negative
التوزيع تم بنفس الكشوف القديمة.,Giza,Boulaq Dakrour,Neutral
المسؤول ساعد الناس في حمل الجوالات.,Giza,Sheikh Zayed,Positive
السلع كانت مرصوصة بطريقة عشوائية.,Giza,Warraq,Negative
التنظيم الداخلي متكرر مفيش جديد.,Giza,Kerdasa,Neutral
التاجر قدم أكياس قابلة لإعادة الاستخدام.,Giza,El Omraniya,Positive
المكان محتاج تنظيف فوري.,Giza,Badrshein,Negative
الورق خلص على نفس النمط التقليدي.,Giza,Atfih,Neutral
الموظف ضحك مع الزباين وخلى الجو لطيف.,Giza,Agouza,Positive
السطح بيسرب ميه فوق الطابور.,Giza,Baragil,Negative
المواعيد ماشية زي الجدول المعتاد.,Giza,Hawamdiyah,Neutral
التاجر وفر مرواح محمولة للتبريد.,Giza,Abu Rawash,Positive
اللحمة لونها غامق ومريبة.,Giza,Nahia,Negative
الزيارة عدت بنفس التفاصيل القديمة.,Giza,El Mansoureya,Neutral
تم توزيع كتيبات عن التخزين الآمن.,Giza,Al Ayat,Positive
مفيش حد بيرد على الاستفسارات.,Giza,El Saf,Negative
المنفذ حافظ على نفس ترتيب الأرفف.,Giza,Abu Nomros,Neutral
البياع رحب بالزباين بابتسامة.,Alexandria,Smouha,Positive
الزيت كان مسرب على الأرض.,Alexandria,Raml Station,Negative
