stars,review,district,governorate,clean_review
5,أنا سعيد جدا بالتغذية الراجعة الإيجابية على خدمتي! لقد كنت أعمل بجد لضمان تقديم أفضل تجربة ممكنة لجميع المستخدمين. شكرا لك على دعمك المستمر وتواصلك معي دائما. أتطلع إلى الاستمرار بتقديم خدمات عالية الجودة لكم جميعا.,جمعية غذاء,سوهاج,أنا سعيد جدا بالتغذية الراجعة الإيجابية على خدمتي لقد كنت أعمل بجد لضمان تقديم أفضل تجربة ممكنة لجميع المستخدمين شكرا لك على دعمك المستمر وتواصلك معي دائما أتطلع إلى الاستمرار بتقديم خدمات عالية الجودة لكم جميعا
5,"أنا سعيد جدا بخدمة التموين دي, لأنها بتوفرلي كل اللي أحتاجه وبتجيب الأكل بسهولة ف البيت, وأنا بحب أتكلم عنها على فيسبوك عشان الناس تعرف أنها فعلا حاجة عظيمة.",مكتب التموين,دمياط,أنا سعيد جدا بخدمة التموين دي لأنها بتوفرلي كل اللي أحتاجه وبتجيب الأكل بسهولة ف البيت وأنا بحب أتكلم عنها على فيسبوك عشان الناس تعرف أنها فعلا حاجة عظيمة
2,"بجد كده, أنا مش راضي خالص عن جودة خدمات التموين هنا فى محافظتنا. كل يوم بنلاقى الأكل ده بقاله كتير طويل على الرفوف ومش طازج أبدا. وبنحاول ناكله ونخلص منه قبل ما يفسد تماما.",جمعية نوران للتموين,المنيا,بجد كده أنا مش راضي خالص عن جودة خدمات التموين هنا فى محافظتنا كل يوم بنلاقى الأكل ده بقاله كتير طويل على الرفوف ومش طازج أبدا وبنحاول ناكله ونخلص منه قبل ما يفسد تماما
2,"أنا مش راضيا تماما على خدمات التموين في محافظتنا, ده لأنها دايما متأخرة وتخلينا نفضل منتظرين ساعات طويلة عشان نحصل على الطعام. لو كانت أحسن بكتير كان ممكن أحافظ على صحتي أكتر وأكون أكثر نشاط ونشاط. أتمنى أنهم يعملوا حاجة علشان نقدر نحسن الوضع ونرضي الناس اللي بتستخدم دي الخدمات.",جمعية الشروق,السويس,أنا مش راضيا تماما على خدمات التموين في محافظتنا ده لأنها دايما متأخرة وتخلينا نفضل منتظرين ساعات طويلة عشان نحصل على الطعام لو كانت أحسن بكتير كان ممكن أحافظ على صحتي أكتر وأكون أكثر نشاط ونشاط أتمنى أنهم يعملوا حاجة علشان نقدر نحسن الوضع ونرضي الناس اللي بتستخدم دي الخدمات
2,"أنا مش راضي تماما على خدمة التوزيع دي, بصراحة! هي بتبقى بطيئة أوي ومش كويسة جدا. دايما بنشوف الناس بتتأخر كتير ونضطر نبقى واقفين ساعات علشان نحصل على حاجاتنا. أتمنى لو يتحسنوا أكتر, عشان نقدر نستمتع بالخدمة بدون أي مشاكل.",جمعية مطبخ المنصورة,الدقهلية,أنا مش راضي تماما على خدمة التوزيع دي بصراحة هي بتبقى بطيئة أوي ومش كويسة جدا دايما بنشوف الناس بتتأخر كتير ونضطر نبقى واقفين ساعات علشان نحصل على حاجاتنا أتمنى لو يتحسنوا أكتر عشان نقدر نستمتع بالخدمة بدون أي مشاكل
3,"أنا راعف على خدمة التموين فى مرسى مطروح, مش فاهم ليه الناس بتقول عليها سيئة. أنا جربت الأكل هناك مرة واحدة وجبتلي أكل كويس جدا ومش بفلوس كتير. لكن بصراحة, لو كانت الخدمة أفضل والأكل أحلى, كان ممكن أغير رأيي.",مكتب السواني,مطروح,أنا راعف على خدمة التموين فى مرسى مطروح مش فاهم ليه الناس بتقول عليها سيئة أنا جربت الأكل هناك مرة واحدة وجبتلي أكل كويس جدا ومش بفلوس كتير لكن بصراحة لو كانت الخدمة أفضل والأكل أحلى كان ممكن أغير رأيي
4,"أنا سعيد جدا بخدمة التموين لأنها بتحب تساعد الناس اللي محتاجين, لكن هي بحاجة لتحسين بعض الحاجات الصغيرة عشان نقدر نستفيد منها بشكل أفضل.",شركة التوفيق للتوريدات الغذائية,القليوبية,أنا سعيد جدا بخدمة التموين لأنها بتحب تساعد الناس اللي محتاجين لكن هي بحاجة لتحسين بعض الحاجات الصغيرة عشان نقدر نستفيد منها بشكل أفضل
1,"أنا مش راضيين عن خدمات التموين هنا في السويس, احنا بنحاول نبقى على قيد الحياة بس إحنا محتاجين تحسين كتير. الطعام اللي بيقدموه لنا ده مفيهوش أي قيمة ولا طعم, وناس بتبيعه علينا بفلوس زياده جدا, ولو حد سألنا بيقولوا إن الحاجات دي لازم كده! دا كله علشان ناس كبار في الحكومة عايزينا ندفع فلوسهم مقابل الخدمات اللي بيتاحولها لينا. نحن بحاجة لتغيير حقيقي للأفضل, عشان نقدر نعيش بكر",الجمعية التعاونية لإنتاج الأغذية,السويس,أنا مش راضيين عن خدمات التموين هنا في السويس احنا بنحاول نبقى على قيد الحياة بس إحنا محتاجين تحسين كتير الطعام اللي بيقدموه لنا ده مفيهوش أي قيمة ولا طعم وناس بتبيعه علينا بفلوس زياده جدا ولو حد سألنا بيقولوا إن الحاجات دي لازم كده دا كله علشان ناس كبار في الحكومة عايزينا ندفع فلوسهم مقابل الخدمات اللي بيتاحولها لينا نحن بحاجة لتغيير حقيقي للأفضل عشان نقدر نعيش بكر
2,"أنا راني أكتب تعليقا على خدمة التموين, لكن بصراحة مش راضيا عنها خالص. هما حابين يحسنوا الطريقة دي عشان الناس تقدر تستمتع بالأكل الصحي. أنا أتخيل لو أنهم يعملوا كدة هتبقى خطوة رائعة جدا. شكرا ليكم!",مكتب الأعمال الغذائية,أسيوط,أنا راني أكتب تعليقا على خدمة التموين لكن بصراحة مش راضيا عنها خالص هما حابين يحسنوا الطريقة دي عشان الناس تقدر تستمتع بالأكل الصحي أنا أتخيل لو أنهم يعملوا كدة هتبقى خطوة رائعة جدا شكرا ليكم
4,"أنا سعيد جدا بأن خدمتكم كانت جيدة بالنسبة لي. أعتقد أنه يمكن تحسينها قليلا, لكن بشكل عام, أقدر المجهود المبذول.",اتحاد الغذاء الصحي,الإسكندرية,أنا سعيد جدا بأن خدمتكم كانت جيدة بالنسبة لي أعتقد أنه يمكن تحسينها قليلا لكن بشكل عام أقدر المجهود المبذول
3,"أنا مش فاهم إيه المشكلة مع خدمات التموين في المحافظة! على الرغم من أنها كانت كويسة جدا قبل كده, لكن دلوقتي بقت سيئة أوي ومش عارفين نعمل ايه? ده لو احنا بنحاول نحصل عليها أصلا! أنا عاوز حقي يا جماعة!",مكتب التموين,الشرقية,أنا مش فاهم إيه المشكلة مع خدمات التموين في المحافظة على الرغم من أنها كانت كويسة جدا قبل كده لكن دلوقتي بقت سيئة أوي ومش عارفين نعمل ايه ده لو احنا بنحاول نحصل عليها أصلا أنا عاوز حقي يا جماعة
2,"أنا مش راضي على خدمات التموين في محافظتنا, لأن كل مرة بنروح فيها للبقالة بتكون فيه نقص في بعض الحاجات الأساسية وبنتعاطى مع الناس اللي بيعملوها بطريقة سيئة جدا! ده كله بيحصل وسط غياب تام للرقابة والمتابعة من المسؤولين. احنا محتاجين تطوير حقيقي للخدمات العامة عشان نقدر نعيش بشكل أفضل ونعيش بكرامة.",مكتب زهراء,الدقهلية,أنا مش راضي على خدمات التموين في محافظتنا لأن كل مرة بنروح فيها للبقالة بتكون فيه نقص في بعض الحاجات الأساسية وبنتعاطى مع الناس اللي بيعملوها بطريقة سيئة جدا ده كله بيحصل وسط غياب تام للرقابة والمتابعة من المسؤولين احنا محتاجين تطوير حقيقي للخدمات العامة عشان نقدر نعيش بشكل أفضل ونعيش بكرامة
1,"أنا مش راضيه خالص على خدمة التموين في البحيرة, ده لأن الأكل اللي بيتم توصيله بقا كتير وحلو ومفيش احترام للمشتري! لو حد عايز يشوف ازاي الناس بتتصرف صح يبقى يروح هناك ويشاهد بنفسه كيف بيتعاملوا مع العملاء بطريقة وحشانة ولازم يتعدل الوضع قبل ما يتحاسب الجميع.",جمعية سندس للمطابخ,البحيرة,أنا مش راضيه خالص على خدمة التموين في البحيرة ده لأن الأكل اللي بيتم توصيله بقا كتير وحلو ومفيش احترام للمشتري لو حد عايز يشوف ازاي الناس بتتصرف صح يبقى يروح هناك ويشاهد بنفسه كيف بيتعاملوا مع العملاء بطريقة وحشانة ولازم يتعدل الوضع قبل ما يتحاسب الجميع
3,"أنا سعيد لتقديم لك نص مكتوب بالعامية المصرية يعبر عنك كمواطن مصري ينتقد خدمات التوزيع في محافظة السويس. يرجى ملاحظة أنني مجرد برنامج ذكاء اصطناعي ولا أستطيع الرد على أسئلتك الشخصية. إليك النص الذي تريد استخدامه للتعليق: أنا مش راضي تماما عن توزيع الطعام ده, لأنه دايما بيكون متأخر شوية ومفيش تنوع في الأطعمة اللي بيتم توزيعها.",جمعية الواحة للتغذية,السويس,أنا سعيد لتقديم لك نص مكتوب بالعامية المصرية يعبر عنك كمواطن مصري ينتقد خدمات التوزيع في محافظة السويس يرجى ملاحظة أنني مجرد برنامج ذكاء اصطناعي ولا أستطيع الرد على أسئلتك الشخصية إليك النص الذي تريد استخدامه للتعليق أنا مش راضي تماما عن توزيع الطعام ده لأنه دايما بيكون متأخر شوية ومفيش تنوع في الأطعمة اللي بيتم توزيعها
1,"أنا مش راضيا على الخدمة دي خالص! كل مرة بتيجي أروح أشتري حاجات البيت, بنفاجأ الأسعار بتزيد فجأة وبقت غالية أوي. بالإضافة إلى كده, جودة المنتجات بتبقى ضعيفة جدا ومش طازجة أبدا. لو كنت رئيس المحافظة, هغير نظام التوزيع كله وأدير الأمور بشكل أفضل.",جمعية الحياة,السويس,أنا مش راضيا على الخدمة دي خالص كل مرة بتيجي أروح أشتري حاجات البيت بنفاجأ الأسعار بتزيد فجأة وبقت غالية أوي بالإضافة إلى كده جودة المنتجات بتبقى ضعيفة جدا ومش طازجة أبدا لو كنت رئيس المحافظة هغير نظام التوزيع كله وأدير الأمور بشكل أفضل
2,"يا جماعة, أنا عايز أتكلم عن خدمات التموين في القاهرة, بس للأسف هي مش كويسة على الإطلاق! احنا بنستلم حاجات بتقل عن الجودة المتوقعة, وكمان الأسعار كتير عالية مقارنة بالخدمات الأخرى المتاحة في السوق. لو الحكومة فكرت تانية في الموضوع ممكن نقدر نحافظ على حياتنا ونوفر فلوسنا كمان. شكرا لكم.",مجلس التعاون الخليجي للوجبات السريعة,القاهرة,يا جماعة أنا عايز أتكلم عن خدمات التموين في القاهرة بس للأسف هي مش كويسة على الإطلاق احنا بنستلم حاجات بتقل عن الجودة المتوقعة وكمان الأسعار كتير عالية مقارنة بالخدمات الأخرى المتاحة في السوق لو الحكومة فكرت تانية في الموضوع ممكن نقدر نحافظ على حياتنا ونوفر فلوسنا كمان شكرا لكم
5,"أنا سعيد جدا بالخدمات اللي بتقدمها الحكومة, خاصة برنامج التموين. أنا بشكر كل العاملين فيه على المجهود الكبير اللي بيتموا عشان الناس تقدر تعيش بكرامة.",مكتب الأمل للمغاربة,أسيوط,أنا سعيد جدا بالخدمات اللي بتقدمها الحكومة خاصة برنامج التموين أنا بشكر كل العاملين فيه على المجهود الكبير اللي بيتموا عشان الناس تقدر تعيش بكرامة
1,"أنا مش راضيا على خدمات التوزيع دي, هي بتتأخر كتير وبتقعد ساعات طويلة قدام البيت لحد ما يوصلوا الأكل.",الجمعية المصرية لتغليف الطعام,القاهرة,أنا مش راضيا على خدمات التوزيع دي هي بتتأخر كتير وبتقعد ساعات طويلة قدام البيت لحد ما يوصلوا الأكل
3,"أنا مش عارفة أتكلم بصراحة, لكن أعتقد إن خدمات التموين في الجيزة ليست بالجودة المطلوبة. بنشوف حاجات كتير غلط ومش صحيحة, وناس بتضيع وقتهم ومجهوداتهم عشان يحصلوا على حقهم. أتمنى لو الحكومة تقدر تحسن الوضع وتعالجه, لأن الناس محتاجة تعيش حياة كريمة.",مكتب الطعام الصحي مكتب الغذاء الجيد,الجيزة,أنا مش عارفة أتكلم بصراحة لكن أعتقد إن خدمات التموين في الجيزة ليست بالجودة المطلوبة بنشوف حاجات كتير غلط ومش صحيحة وناس بتضيع وقتهم ومجهوداتهم عشان يحصلوا على حقهم أتمنى لو الحكومة تقدر تحسن الوضع وتعالجه لأن الناس محتاجة تعيش حياة كريمة
2,"أنا مش راضي خالص على خدمات التموين اللي بنعامل بيها, دي بتكون سيئة جدا وبتخلي الناس تعبانين أوي. لازم نغير النظام ده ونعمل حاجة أحسن للناس الغلابة.",جمعية مركز الخير,قنا,أنا مش راضي خالص على خدمات التموين اللي بنعامل بيها دي بتكون سيئة جدا وبتخلي الناس تعبانين أوي لازم نغير النظام ده ونعمل حاجة أحسن للناس الغلابة
