Title,ASIN,Stars,Review,Price,clean_review
"Anker Soundcore VI R50i True Wireless Earbuds with 10mm Drivers for Powerful Bass, Bluetooth 5.3, Long Playtime (30 Hours), Water Resistant, 2 Clear Mics, and 22 Preset EQs,18 Months Warranty",B0C7CQT9ZS,3.0,صوت المايك دايما فيه صدى صوت,864,صوت المايك دايما فيه صدى صوت
"Anker Soundcore VI R50i True Wireless Earbuds with 10mm Drivers for Powerful Bass, Bluetooth 5.3, Long Playtime (30 Hours), Water Resistant, 2 Clear Mics, and 22 Preset EQs,18 Months Warranty",B0C7CQT9ZS,5.0,جميله,864,جميله
"Anker Soundcore VI R50i True Wireless Earbuds with 10mm Drivers for Powerful Bass, Bluetooth 5.3, Long Playtime (30 Hours), Water Resistant, 2 Clear Mics, and 22 Preset EQs,18 Months Warranty",B0C7CQT9ZS,5.0,السماعه تحفه وسعر حلو جدا والصوت جميل وأهم حاجه انها جايه بضمان اتصال بس يجب علي مطورين البرنامج انهم يحطوا اضافه معرفه نسبه شحن الcase,864,السماعه تحفه وسعر حلو جدا والصوت جميل وأهم حاجه انها جايه بضمان اتصال بس يجب علي مطورين البرنامج انهم يحطوا اضافه معرفه نسبه شحن ال
"Anker Soundcore VI R50i True Wireless Earbuds with 10mm Drivers for Powerful Bass, Bluetooth 5.3, Long Playtime (30 Hours), Water Resistant, 2 Clear Mics, and 22 Preset EQs,18 Months Warranty",B0C7CQT9ZS,5.0,ممتازة,864,ممتازة
"Anker Soundcore VI R50i True Wireless Earbuds with 10mm Drivers for Powerful Bass, Bluetooth 5.3, Long Playtime (30 Hours), Water Resistant, 2 Clear Mics, and 22 Preset EQs,18 Months Warranty",B0C7CQT9ZS,3.0,منتج ممتاز وأداء افضل شكراً امازون,864,منتج ممتاز وأداء افضل شكرا امازون
"Anker Soundcore VI R50i True Wireless Earbuds with 10mm Drivers for Powerful Bass, Bluetooth 5.3, Long Playtime (30 Hours), Water Resistant, 2 Clear Mics, and 22 Preset EQs,18 Months Warranty",B0C7CQT9ZS,3.0,"أنا جالي
R50i VI
مع أني كنت طالب
R50i
صوتها في المكالمات جيد جداً ونقي ولكن العزل مش أفضل حاجة
يعني لو حواليك أصوات اللي بتكلمه بيبقي سامع كل حاجة
طبعاً صوت المزيكا حلو جدا فيها ولا يوجد بيها تاتش في السماعة",864,أنا جالي مع أني كنت طالب صوتها في المكالمات جيد جدا ونقي ولكن العزل مش أفضل حاجة يعني لو حواليك أصوات اللي بتكلمه بيبقي سامع كل حاجة طبعا صوت المزيكا حلو جدا فيها ولا يوجد بيها تاتش في السماعة
"Anker Soundcore VI R50i True Wireless Earbuds with 10mm Drivers for Powerful Bass, Bluetooth 5.3, Long Playtime (30 Hours), Water Resistant, 2 Clear Mics, and 22 Preset EQs,18 Months Warranty",B0C7CQT9ZS,5.0,جميله جدا,864,جميله جدا
"Anker Soundcore VI R50i True Wireless Earbuds with 10mm Drivers for Powerful Bass, Bluetooth 5.3, Long Playtime (30 Hours), Water Resistant, 2 Clear Mics, and 22 Preset EQs,18 Months Warranty",B0C7CQT9ZS,5.0,بعد اكتر من شهر من استخدمها بجد حلوه جدا جدا بصراحه مش بستخدمها مكالمات غير قليل لاني مش بتكلم في التليفون بس ك استخدام صوت نقي جدا وعالي اوي و ممكن اقعد 10 ايام او اسبوع من غير ما اشحنها رغم يستخدمها كل يوم ومريحه في الاذن انصح جدا ب شرائها,864,بعد اكتر من شهر من استخدمها بجد حلوه جدا جدا بصراحه مش بستخدمها مكالمات غير قليل لاني مش بتكلم في التليفون بس ك استخدام صوت نقي جدا وعالي اوي و ممكن اقعد ايام او اسبوع من غير ما اشحنها رغم يستخدمها كل يوم ومريحه في الاذن انصح جدا ب شرائها
"Anker Soundcore VI R50i True Wireless Earbuds with 10mm Drivers for Powerful Bass, Bluetooth 5.3, Long Playtime (30 Hours), Water Resistant, 2 Clear Mics, and 22 Preset EQs,18 Months Warranty",B0C7CQT9ZS,3.0,حلوه بس لو سيبتها كام ساعه من غير مااشغلها لازم احطها في البوكس بتاعها واطلعها تاني عشان تلقط بلوتوث,864,حلوه بس لو سيبتها كام ساعه من غير مااشغلها لازم احطها في البوكس بتاعها واطلعها تاني عشان تلقط بلوتوث
"Anker Soundcore VI R50i True Wireless Earbuds with 10mm Drivers for Powerful Bass, Bluetooth 5.3, Long Playtime (30 Hours), Water Resistant, 2 Clear Mics, and 22 Preset EQs,18 Months Warranty",B0C7CQT9ZS,4.0,سماعه جميله ولكن لايوجد بها عزل الضوضاء,864,سماعه جميله ولكن لايوجد بها عزل الضوضاء
"Anker Soundcore VI R50i True Wireless Earbuds with 10mm Drivers for Powerful Bass, Bluetooth 5.3, Long Playtime (30 Hours), Water Resistant, 2 Clear Mics, and 22 Preset EQs,18 Months Warranty",B0C7CQT9ZS,3.0,للاسف سماعة منهم باظت بعد ٦ شهور من الاستخدام ف الجيم / مكالمات / اغاني طول اليوم بس هي كصوت و عزل ممتازة ف بالنسبة لسعرها حلو انها قعدت ٦ شهور معايا,864,للاسف سماعة منهم باظت بعد شهور من الاستخدام ف الجيم مكالمات اغاني طول اليوم بس هي كصوت و عزل ممتازة ف بالنسبة لسعرها حلو انها قعدت شهور معايا
"Anker Soundcore VI R50i True Wireless Earbuds with 10mm Drivers for Powerful Bass, Bluetooth 5.3, Long Playtime (30 Hours), Water Resistant, 2 Clear Mics, and 22 Preset EQs,18 Months Warranty",B0C7CQT9ZS,4.0,وصلتنى السماعه بس موديل مختلف r50i vi صناعه فتنامى وضمان اتصال ملصق عالكرتونه وتم تسجيل السريال فموقع انكر والتأكد انها اصليه وتحت الاختبار وصلتنى اليوم,864,وصلتنى السماعه بس موديل مختلف صناعه فتنامى وضمان اتصال ملصق عالكرتونه وتم تسجيل السريال فموقع انكر والتأكد انها اصليه وتحت الاختبار وصلتنى اليوم
"Anker Soundcore VI R50i True Wireless Earbuds with 10mm Drivers for Powerful Bass, Bluetooth 5.3, Long Playtime (30 Hours), Water Resistant, 2 Clear Mics, and 22 Preset EQs,18 Months Warranty",B0C7CQT9ZS,4.0,السماعه ممتازه صوتها حلو والمايك بتاعها كويس مش وحش عيبها لما تبعت لحد فويس منها الصوت مش بيبقي نقي,864,السماعه ممتازه صوتها حلو والمايك بتاعها كويس مش وحش عيبها لما تبعت لحد فويس منها الصوت مش بيبقي نقي
"Anker Soundcore VI R50i True Wireless Earbuds with 10mm Drivers for Powerful Bass, Bluetooth 5.3, Long Playtime (30 Hours), Water Resistant, 2 Clear Mics, and 22 Preset EQs,18 Months Warranty",B0C7CQT9ZS,5.0,تحفه تحفه تحفه بتقعد باليومين و تلاته من غير شحن,864,تحفه تحفه تحفه بتقعد باليومين و تلاته من غير شحن
"Anker Soundcore VI R50i True Wireless Earbuds with 10mm Drivers for Powerful Bass, Bluetooth 5.3, Long Playtime (30 Hours), Water Resistant, 2 Clear Mics, and 22 Preset EQs,18 Months Warranty",B0C7CQT9ZS,5.0,سماعه محترمه و ببلاش والله انا نفسي مستغرب عملوها ازاي. معايا بقالها يجي سنه و اتحطت في الغساله و خرجت شغاله سبحان الله,864,سماعه محترمه و ببلاش والله انا نفسي مستغرب عملوها ازاي معايا بقالها يجي سنه و اتحطت في الغساله و خرجت شغاله سبحان الله
"Anker Soundcore VI R50i True Wireless Earbuds with 10mm Drivers for Powerful Bass, Bluetooth 5.3, Long Playtime (30 Hours), Water Resistant, 2 Clear Mics, and 22 Preset EQs,18 Months Warranty",B0C7CQT9ZS,5.0,منتج رائع وبطاريات السماعات جيده,864,منتج رائع وبطاريات السماعات جيده
"Anker Soundcore VI R50i True Wireless Earbuds with 10mm Drivers for Powerful Bass, Bluetooth 5.3, Long Playtime (30 Hours), Water Resistant, 2 Clear Mics, and 22 Preset EQs,18 Months Warranty",B0C7CQT9ZS,5.0,ممتازه كسعر مقابل قيمة,864,ممتازه كسعر مقابل قيمة
"Anker Soundcore VI R50i True Wireless Earbuds with 10mm Drivers for Powerful Bass, Bluetooth 5.3, Long Playtime (30 Hours), Water Resistant, 2 Clear Mics, and 22 Preset EQs,18 Months Warranty",B0C7CQT9ZS,3.0,"هي كسماعة حلوة مش وحشة صوتها متوسط و البيز مش عالي .. المايك بتاعها حساس اوي و مبيعزلش الدوشة ف لو انت برة البيت اللي بتكلمه هيسمع كل الاصوات حواليك ويسمع صوتك بصعوبة ف لو المايك فارق معاك متجيبهاش
لكن كصوت هي عادية
الابلكيشن مالوش لازمة اوي والمودز اللي فيه مبتفرقش في حاجة .. فايدته في تقليل التأخير لو بتلعب و انك تقدر من خلاله تخلي السماعة تعمل صوت صفارة عشان تلاقيها لو ضايعة منك
غير كدا ممكن تجيب اي سماعة بنص سعرها و هتأدي نفس الوظيفة",864,هي كسماعة حلوة مش وحشة صوتها متوسط و البيز مش عالي المايك بتاعها حساس اوي و مبيعزلش الدوشة ف لو انت برة البيت اللي بتكلمه هيسمع كل الاصوات حواليك ويسمع صوتك بصعوبة ف لو المايك فارق معاك متجيبهاش لكن كصوت هي عادية الابلكيشن مالوش لازمة اوي والمودز اللي فيه مبتفرقش في حاجة فايدته في تقليل التأخير لو بتلعب و انك تقدر من خلاله تخلي السماعة تعمل صوت صفارة عشان تلاقيها لو ضايعة منك غير كدا ممكن تجيب اي سماعة بنص سعرها و هتأدي نفس الوظيفة
"Anker Soundcore VI R50i True Wireless Earbuds with 10mm Drivers for Powerful Bass, Bluetooth 5.3, Long Playtime (30 Hours), Water Resistant, 2 Clear Mics, and 22 Preset EQs,18 Months Warranty",B0C7CQT9ZS,3.0,جيد جدا بالنسبة للسماع والمكالمات فى الاماكن المغلقة ولكن لا يوجد عزل تمام فى الاماكن المفتوحة والمكالمة بتصبح سيئة,864,جيد جدا بالنسبة للسماع والمكالمات فى الاماكن المغلقة ولكن لا يوجد عزل تمام فى الاماكن المفتوحة والمكالمة بتصبح سيئة
"Anker Soundcore VI R50i True Wireless Earbuds with 10mm Drivers for Powerful Bass, Bluetooth 5.3, Long Playtime (30 Hours), Water Resistant, 2 Clear Mics, and 22 Preset EQs,18 Months Warranty",B0C7CQT9ZS,5.0,ممتازة قيمة مقابل سعر,864,ممتازة قيمة مقابل سعر
"Anker Soundcore VI R50i True Wireless Earbuds with 10mm Drivers for Powerful Bass, Bluetooth 5.3, Long Playtime (30 Hours), Water Resistant, 2 Clear Mics, and 22 Preset EQs,18 Months Warranty",B0C7CQT9ZS,5.0,سماعه محترمه في فئتها السعريه,864,سماعه محترمه في فئتها السعريه
"Anker Soundcore VI R50i True Wireless Earbuds with 10mm Drivers for Powerful Bass, Bluetooth 5.3, Long Playtime (30 Hours), Water Resistant, 2 Clear Mics, and 22 Preset EQs,18 Months Warranty",B0C7CQT9ZS,4.0,"الباب اللي بيتفتح لفوق دة مزعج شوية بس شغال و هي نفسها تحس انها كبيرة عالودن لو ودنك صغيرة بلاش هتقع منها ، الصوت كويس اوي و عالي و واضح و المايك الى حد ما كويس الناس بتسمعني يعني
المدى بتاع البلوتوث مش احسن حاجة لو حطيت الموبايل في جيبي اللي ورا اوقات بتعلق و اوقات لا ، بس في المجمل العام حلوة و تستاهل",864,الباب اللي بيتفتح لفوق دة مزعج شوية بس شغال و هي نفسها تحس انها كبيرة عالودن لو ودنك صغيرة بلاش هتقع منها الصوت كويس اوي و عالي و واضح و المايك الى حد ما كويس الناس بتسمعني يعني المدى بتاع البلوتوث مش احسن حاجة لو حطيت الموبايل في جيبي اللي ورا اوقات بتعلق و اوقات لا بس في المجمل العام حلوة و تستاهل
"Anker Soundcore VI R50i True Wireless Earbuds with 10mm Drivers for Powerful Bass, Bluetooth 5.3, Long Playtime (30 Hours), Water Resistant, 2 Clear Mics, and 22 Preset EQs,18 Months Warranty",B0C7CQT9ZS,5.0,حلوه جدا,864,حلوه جدا
"Anker Soundcore VI R50i True Wireless Earbuds with 10mm Drivers for Powerful Bass, Bluetooth 5.3, Long Playtime (30 Hours), Water Resistant, 2 Clear Mics, and 22 Preset EQs,18 Months Warranty",B0C7CQT9ZS,4.0,كويسه بالنسبه لسعرها 👍,864,كويسه بالنسبه لسعرها
