Title,ASIN,Stars,Review,Price,clean_review,predicted_sentiment
"Anker Soundcore VI R50i True Wireless Earbuds with 10mm Drivers for Powerful Bass, Bluetooth 5.3, Long Playtime (30 Hours), Water Resistant, 2 Clear Mics, and 22 Preset EQs,18 Months Warranty",B0C7CQT9ZS,3.0,صوت المايك دايما فيه صدى صوت,864,صوت المايك دايما فيه صدى صوت,محايد
"Anker Soundcore VI R50i True Wireless Earbuds with 10mm Drivers for Powerful Bass, Bluetooth 5.3, Long Playtime (30 Hours), Water Resistant, 2 Clear Mics, and 22 Preset EQs,18 Months Warranty",B0C7CQT9ZS,5.0,جميله,864,جميله,إيجابي
"Anker Soundcore VI R50i True Wireless Earbuds with 10mm Drivers for Powerful Bass, Bluetooth 5.3, Long Playtime (30 Hours), Water Resistant, 2 Clear Mics, and 22 Preset EQs,18 Months Warranty",B0C7CQT9ZS,5.0,السماعه تحفه وسعر حلو جدا والصوت جميل وأهم حاجه انها جايه بضمان اتصال بس يجب علي مطورين البرنامج انهم يحطوا اضافه معرفه نسبه شحن الcase,864,السماعه تحفه وسعر حلو جدا والصوت جميل وأهم حاجه انها جايه بضمان اتصال بس يجب علي مطورين البرنامج انهم يحطوا اضافه معرفه نسبه شحن ال,إيجابي
"Anker Soundcore VI R50i True Wireless Earbuds with 10mm Drivers for Powerful Bass, Bluetooth 5.3, Long Playtime (30 Hours), Water Resistant, 2 Clear Mics, and 22 Preset EQs,18 Months Warranty",B0C7CQT9ZS,5.0,ممتازة,864,ممتازة,إيجابي
"Anker Soundcore VI R50i True Wireless Earbuds with 10mm Drivers for Powerful Bass, Bluetooth 5.3, Long Playtime (30 Hours), Water Resistant, 2 Clear Mics, and 22 Preset EQs,18 Months Warranty",B0C7CQT9ZS,3.0,منتج ممتاز وأداء افضل شكراً امازون,864,منتج ممتاز وأداء افضل شكرا امازون,إيجابي
"Anker Soundcore VI R50i True Wireless Earbuds with 10mm Drivers for Powerful Bass, Bluetooth 5.3, Long Playtime (30 Hours), Water Resistant, 2 Clear Mics, and 22 Preset EQs,18 Months Warranty",B0C7CQT9ZS,3.0,"أنا جالي
R50i VI
مع أني كنت طالب
R50i
صوتها في المكالمات جيد جداً ونقي ولكن العزل مش أفضل حاجة
يعني لو حواليك أصوات اللي بتكلمه بيبقي سامع كل حاجة
طبعاً صوت المزيكا حلو جدا فيها ولا يوجد بيها تاتش في السماعة",864,أنا جالي مع أني كنت طالب صوتها في المكالمات جيد جدا ونقي ولكن العزل مش أفضل حاجة يعني لو حواليك أصوات اللي بتكلمه بيبقي سامع كل حاجة طبعا صوت المزيكا حلو جدا فيها ولا يوجد بيها تاتش في السماعة,إيجابي
"Anker Soundcore VI R50i True Wireless Earbuds with 10mm Drivers for Powerful Bass, Bluetooth 5.3, Long Playtime (30 Hours), Water Resistant, 2 Clear Mics, and 22 Preset EQs,18 Months Warranty",B0C7CQT9ZS,5.0,جميله جدا,864,جميله جدا,إيجابي
"Anker Soundcore VI R50i True Wireless Earbuds with 10mm Drivers for Powerful Bass, Bluetooth 5.3, Long Playtime (30 Hours), Water Resistant, 2 Clear Mics, and 22 Preset EQs,18 Months Warranty",B0C7CQT9ZS,5.0,بعد اكتر من شهر من استخدمها بجد حلوه جدا جدا بصراحه مش بستخدمها مكالمات غير قليل لاني مش بتكلم في التليفون بس ك استخدام صوت نقي جدا وعالي اوي و ممكن اقعد 10 ايام او اسبوع من غير ما اشحنها رغم يستخدمها كل يوم ومريحه في الاذن انصح جدا ب شرائها,864,بعد اكتر من شهر من استخدمها بجد حلوه جدا جدا بصراحه مش بستخدمها مكالمات غير قليل لاني مش بتكلم في التليفون بس ك استخدام صوت نقي جدا وعالي اوي و ممكن اقعد ايام او اسبوع من غير ما اشحنها رغم يستخدمها كل يوم ومريحه في الاذن انصح جدا ب شرائها,إيجابي
"Anker Soundcore VI R50i True Wireless Earbuds with 10mm Drivers for Powerful Bass, Bluetooth 5.3, Long Playtime (30 Hours), Water Resistant, 2 Clear Mics, and 22 Preset EQs,18 Months Warranty",B0C7CQT9ZS,3.0,حلوه بس لو سيبتها كام ساعه من غير مااشغلها لازم احطها في البوكس بتاعها واطلعها تاني عشان تلقط بلوتوث,864,حلوه بس لو سيبتها كام ساعه من غير مااشغلها لازم احطها في البوكس بتاعها واطلعها تاني عشان تلقط بلوتوث,إيجابي
"Anker Soundcore VI R50i True Wireless Earbuds with 10mm Drivers for Powerful Bass, Bluetooth 5.3, Long Playtime (30 Hours), Water Resistant, 2 Clear Mics, and 22 Preset EQs,18 Months Warranty",B0C7CQT9ZS,4.0,سماعه جميله ولكن لايوجد بها عزل الضوضاء,864,سماعه جميله ولكن لايوجد بها عزل الضوضاء,إيجابي
"Anker Soundcore VI R50i True Wireless Earbuds with 10mm Drivers for Powerful Bass, Bluetooth 5.3, Long Playtime (30 Hours), Water Resistant, 2 Clear Mics, and 22 Preset EQs,18 Months Warranty",B0C7CQT9ZS,3.0,للاسف سماعة منهم باظت بعد ٦ شهور من الاستخدام ف الجيم / مكالمات / اغاني طول اليوم بس هي كصوت و عزل ممتازة ف بالنسبة لسعرها حلو انها قعدت ٦ شهور معايا,864,للاسف سماعة منهم باظت بعد شهور من الاستخدام ف الجيم مكالمات اغاني طول اليوم بس هي كصوت و عزل ممتازة ف بالنسبة لسعرها حلو انها قعدت شهور معايا,محايد
"Anker Soundcore VI R50i True Wireless Earbuds with 10mm Drivers for Powerful Bass, Bluetooth 5.3, Long Playtime (30 Hours), Water Resistant, 2 Clear Mics, and 22 Preset EQs,18 Months Warranty",B0C7CQT9ZS,4.0,وصلتنى السماعه بس موديل مختلف r50i vi صناعه فتنامى وضمان اتصال ملصق عالكرتونه وتم تسجيل السريال فموقع انكر والتأكد انها اصليه وتحت الاختبار وصلتنى اليوم,864,وصلتنى السماعه بس موديل مختلف صناعه فتنامى وضمان اتصال ملصق عالكرتونه وتم تسجيل السريال فموقع انكر والتأكد انها اصليه وتحت الاختبار وصلتنى اليوم,إيجابي
