Title,ASIN,Stars,Review,Price,clean_review,predicted_sentiment
"Jxrev USB C Headphones,Type C Wired Earbuds, in-Ear Headphones with Microphone Noise Canceling Stereo, Earphones Compatible with iPhone 15/Samsung S23/Android/iPad Pro and Most USB C Devices",B0DB1V1HNC,3.0,متوسطه الجوده,118,متوسطه الجوده,إيجابي
"Jxrev USB C Headphones,Type C Wired Earbuds, in-Ear Headphones with Microphone Noise Canceling Stereo, Earphones Compatible with iPhone 15/Samsung S23/Android/iPad Pro and Most USB C Devices",B0DB1V1HNC,5.0,جميله وصوتها جميل بس لسه مجربتش المكالمات,118,جميله وصوتها جميل بس لسه مجربتش المكالمات,إيجابي
"Jxrev USB C Headphones,Type C Wired Earbuds, in-Ear Headphones with Microphone Noise Canceling Stereo, Earphones Compatible with iPhone 15/Samsung S23/Android/iPad Pro and Most USB C Devices",B0DB1V1HNC,4.0,جد كتير عملي وصوته حلو,118,جد كتير عملي وصوته حلو,إيجابي
"Jxrev USB C Headphones,Type C Wired Earbuds, in-Ear Headphones with Microphone Noise Canceling Stereo, Earphones Compatible with iPhone 15/Samsung S23/Android/iPad Pro and Most USB C Devices",B0DB1V1HNC,5.0,سماعة جامدة و شكلها بريميم أوي🤗💜,118,سماعة جامدة و شكلها بريميم أوي,إيجابي
"Jxrev USB C Headphones,Type C Wired Earbuds, in-Ear Headphones with Microphone Noise Canceling Stereo, Earphones Compatible with iPhone 15/Samsung S23/Android/iPad Pro and Most USB C Devices",B0DB1V1HNC,1.0,خامة رديئة,118,خامة رديئة,سلبي
"Jxrev USB C Headphones,Type C Wired Earbuds, in-Ear Headphones with Microphone Noise Canceling Stereo, Earphones Compatible with iPhone 15/Samsung S23/Android/iPad Pro and Most USB C Devices",B0DB1V1HNC,1.0,"وحشششة جدا منصحش حد بيها
لا صوت ولا مايك
فلوس ع الارض",118,وحشششة جدا منصحش حد بيها لا صوت ولا مايك فلوس ع الارض,سلبي
"Jxrev USB C Headphones,Type C Wired Earbuds, in-Ear Headphones with Microphone Noise Canceling Stereo, Earphones Compatible with iPhone 15/Samsung S23/Android/iPad Pro and Most USB C Devices",B0DB1V1HNC,1.0,فيها زبالة استخدام والزراير بتعلق,118,فيها زبالة استخدام والزراير بتعلق,سلبي
"Jxrev USB C Headphones,Type C Wired Earbuds, in-Ear Headphones with Microphone Noise Canceling Stereo, Earphones Compatible with iPhone 15/Samsung S23/Android/iPad Pro and Most USB C Devices",B0DB1V1HNC,1.0,منتج ردئ. لا انصح به,118,منتج ردئ لا انصح به,سلبي
"Jxrev USB C Headphones,Type C Wired Earbuds, in-Ear Headphones with Microphone Noise Canceling Stereo, Earphones Compatible with iPhone 15/Samsung S23/Android/iPad Pro and Most USB C Devices",B0DB1V1HNC,1.0,السماعات لا تعمل,118,السماعات لا تعمل,سلبي
"Jxrev USB C Headphones,Type C Wired Earbuds, in-Ear Headphones with Microphone Noise Canceling Stereo, Earphones Compatible with iPhone 15/Samsung S23/Android/iPad Pro and Most USB C Devices",B0DB1V1HNC,1.0,جايالي مستعملة,118,جايالي مستعملة,سلبي
"Jxrev USB C Headphones,Type C Wired Earbuds, in-Ear Headphones with Microphone Noise Canceling Stereo, Earphones Compatible with iPhone 15/Samsung S23/Android/iPad Pro and Most USB C Devices",B0DB1V1HNC,1.0,لم يصلني المنتج,118,لم يصلني المنتج,سلبي
"Jxrev USB C Headphones,Type C Wired Earbuds, in-Ear Headphones with Microphone Noise Canceling Stereo, Earphones Compatible with iPhone 15/Samsung S23/Android/iPad Pro and Most USB C Devices",B0DB1V1HNC,5.0,سماعه محترمة و العلبة الاجه و صوتها عالي و نضيف,118,سماعه محترمة و العلبة الاجه و صوتها عالي و نضيف,إيجابي
"Jxrev USB C Headphones,Type C Wired Earbuds, in-Ear Headphones with Microphone Noise Canceling Stereo, Earphones Compatible with iPhone 15/Samsung S23/Android/iPad Pro and Most USB C Devices",B0DB1V1HNC,5.0,ممتازة صوت نقي,118,ممتازة صوت نقي,إيجابي
"ABKONCORE B58ABKONCORE B581 USB Gaming Headset with 7.1 Surround Sound, PC Headset with Noise Cancelling Microphone, LED Light Headphones for PC, Laptop",B07VQ6YNQZ,5.0,"خامتها نضيفة اوي اكتر من سعرها بس برضو مش بتاعت خبط ورزع
الصوت كويس و واضح في كل حاجة مش مسرسع ولا بيزي عالفاضي زي الحاجات الرخصية
المايك كويس بس لو في مكان هادي لكن حساس اوي للهوا لو في مروحة او الهوا الي بيطلع من البق و النفس",550,خامتها نضيفة اوي اكتر من سعرها بس برضو مش بتاعت خبط ورزع الصوت كويس و واضح في كل حاجة مش مسرسع ولا بيزي عالفاضي زي الحاجات الرخصية المايك كويس بس لو في مكان هادي لكن حساس اوي للهوا لو في مروحة او الهوا الي بيطلع من البق و النفس,إيجابي
"ABKONCORE B58ABKONCORE B581 USB Gaming Headset with 7.1 Surround Sound, PC Headset with Noise Cancelling Microphone, LED Light Headphones for PC, Laptop",B07VQ6YNQZ,3.0,لسماعه كصوت ومايك وجوده حلوه بالنسبه لسعرها... بس مش مريحه اطلاقا ساعه بالظبط وهتتخنق من اللبس... لو هتستخدمها لفترات طويله منصحش بيها,550,لسماعه كصوت ومايك وجوده حلوه بالنسبه لسعرها بس مش مريحه اطلاقا ساعه بالظبط وهتتخنق من اللبس لو هتستخدمها لفترات طويله منصحش بيها,محايد
"ABKONCORE B58ABKONCORE B581 USB Gaming Headset with 7.1 Surround Sound, PC Headset with Noise Cancelling Microphone, LED Light Headphones for PC, Laptop",B07VQ6YNQZ,5.0,ممتازة والمايك خرافي حرافيا مشغل مبرد هوائي وهو لاصق جنبي ومفيش اي صوت للهواء خارج من المايك وكمان سماعة محيطية وصوتها عالي ونقي,550,ممتازة والمايك خرافي حرافيا مشغل مبرد هوائي وهو لاصق جنبي ومفيش اي صوت للهواء خارج من المايك وكمان سماعة محيطية وصوتها عالي ونقي,إيجابي
"ABKONCORE B58ABKONCORE B581 USB Gaming Headset with 7.1 Surround Sound, PC Headset with Noise Cancelling Microphone, LED Light Headphones for PC, Laptop",B07VQ6YNQZ,5.0,ممتازة جداً بس السوفت وير اتوقف عنو الدعم بس بالنسبة للسعر دا احسن حاجه تشتريها من غير نقاش متفكرش هي بس لو انت لابس نظارة نظر هتوجع سنه مكان النظارات,550,ممتازة جدا بس السوفت وير اتوقف عنو الدعم بس بالنسبة للسعر دا احسن حاجه تشتريها من غير نقاش متفكرش هي بس لو انت لابس نظارة نظر هتوجع سنه مكان النظارات,إيجابي
"ABKONCORE B58ABKONCORE B581 USB Gaming Headset with 7.1 Surround Sound, PC Headset with Noise Cancelling Microphone, LED Light Headphones for PC, Laptop",B07VQ6YNQZ,4.0,"صوت كويس و محيطي و يعجب أي جيمر و هيكون مفيد ليك جداً لو واخد الموضوع احتراف
المايك كويس بس ياريت لو كان ينفع يتشال من مكانه كان هيبقى أحسن كتير
السلك طويل جداً و متين جداً ودي حاجة كويسة
جاي معاها CD للتعريفات و 2 مغناطيس عشان التشويش
ال RGB باللون الأزرق شكله جميل جداً
مش هتنفعك في حاله إن أنت عايزها تسمع موسيقى أو أفلام لأنها بتشتغل ب سلك مفيهاش بلوتوث
وهتعوز وصلة OTG لو عايز تشغلها على الموبايل أو التابلت",550,صوت كويس و محيطي و يعجب أي جيمر و هيكون مفيد ليك جدا لو واخد الموضوع احتراف المايك كويس بس ياريت لو كان ينفع يتشال من مكانه كان هيبقى أحسن كتير السلك طويل جدا و متين جدا ودي حاجة كويسة جاي معاها للتعريفات و مغناطيس عشان التشويش ال باللون الأزرق شكله جميل جدا مش هتنفعك في حاله إن أنت عايزها تسمع موسيقى أو أفلام لأنها بتشتغل ب سلك مفيهاش بلوتوث وهتعوز وصلة لو عايز تشغلها على الموبايل أو التابلت,إيجابي
"ABKONCORE B58ABKONCORE B581 USB Gaming Headset with 7.1 Surround Sound, PC Headset with Noise Cancelling Microphone, LED Light Headphones for PC, Laptop",B07VQ6YNQZ,3.0,مكملتش ساعة حرفيا واتخنقت منها مش مريحة اطلاقا وخاصة لو انت لابس نضارة والمايك بالنسبة لسعرها بصراحة في احسن من كده وصوتها مش احسن حاجة في احسن من كده بردو لكن المحيطية الي فيها تغفرلها شوية,550,مكملتش ساعة حرفيا واتخنقت منها مش مريحة اطلاقا وخاصة لو انت لابس نضارة والمايك بالنسبة لسعرها بصراحة في احسن من كده وصوتها مش احسن حاجة في احسن من كده بردو لكن المحيطية الي فيها تغفرلها شوية,محايد
"ABKONCORE B58ABKONCORE B581 USB Gaming Headset with 7.1 Surround Sound, PC Headset with Noise Cancelling Microphone, LED Light Headphones for PC, Laptop",B07VQ6YNQZ,4.0,"جودتها مش احسن حاجة و لاكن مش وحشة + البيس مش احسن حاجة و لاكن المايك و البرنامج
الي فيها كويس
سماعة كويسة و تستحق فعلا",550,جودتها مش احسن حاجة و لاكن مش وحشة البيس مش احسن حاجة و لاكن المايك و البرنامج الي فيها كويس سماعة كويسة و تستحق فعلا,إيجابي
"ABKONCORE B58ABKONCORE B581 USB Gaming Headset with 7.1 Surround Sound, PC Headset with Noise Cancelling Microphone, LED Light Headphones for PC, Laptop",B07VQ6YNQZ,3.0,من نحية جوده السماعه ك سعر حلوة جدا و المايك صوتو واضح و كذلك صوت السماعه مخيطيه لكن اللبس نفسو غير مريح يعني بعد ساعه ساعتيه ودانك هتوجعك انا انصح بيها لو انت جيمر فقط,550,من نحية جوده السماعه ك سعر حلوة جدا و المايك صوتو واضح و كذلك صوت السماعه مخيطيه لكن اللبس نفسو غير مريح يعني بعد ساعه ساعتيه ودانك هتوجعك انا انصح بيها لو انت جيمر فقط,إيجابي
"ABKONCORE B58ABKONCORE B581 USB Gaming Headset with 7.1 Surround Sound, PC Headset with Noise Cancelling Microphone, LED Light Headphones for PC, Laptop",B07VQ6YNQZ,3.0,"السماعة في الإستماع جيدة صوتها قوي وواضح
ولكن المايكروفون ضعيف جدا لا يمكن الاعتماد عليه",550,السماعة في الإستماع جيدة صوتها قوي وواضح ولكن المايكروفون ضعيف جدا لا يمكن الاعتماد عليه,محايد
"ABKONCORE B58ABKONCORE B581 USB Gaming Headset with 7.1 Surround Sound, PC Headset with Noise Cancelling Microphone, LED Light Headphones for PC, Laptop",B07VQ6YNQZ,5.0,جيد جداا والاكسسوارات الملحقه بالسماعه ممتازه جداا,550,جيد جداا والاكسسوارات الملحقه بالسماعه ممتازه جداا,إيجابي
"ABKONCORE B58ABKONCORE B581 USB Gaming Headset with 7.1 Surround Sound, PC Headset with Noise Cancelling Microphone, LED Light Headphones for PC, Laptop",B07VQ6YNQZ,4.0,صوتها كويس جدا والمايك ممتاز بس مش مريحه اوي في اللبس,550,صوتها كويس جدا والمايك ممتاز بس مش مريحه اوي في اللبس,إيجابي
"ABKONCORE B58ABKONCORE B581 USB Gaming Headset with 7.1 Surround Sound, PC Headset with Noise Cancelling Microphone, LED Light Headphones for PC, Laptop",B07VQ6YNQZ,5.0,حاجه بسم الله مشاء جامده جدا صوتها رائع وافضل حاجه فيها البيز وصوتها النقي مشكلتها لو الشركه تحسن شكلها الخارجي بتاع السماعه فقط هتكون حاجه كويسه جدا,550,حاجه بسم الله مشاء جامده جدا صوتها رائع وافضل حاجه فيها البيز وصوتها النقي مشكلتها لو الشركه تحسن شكلها الخارجي بتاع السماعه فقط هتكون حاجه كويسه جدا,إيجابي
"ABKONCORE B58ABKONCORE B581 USB Gaming Headset with 7.1 Surround Sound, PC Headset with Noise Cancelling Microphone, LED Light Headphones for PC, Laptop",B07VQ6YNQZ,5.0,حاجه رايقه,550,حاجه رايقه,إيجابي
"soundcore Liberty 4 Pro by Anker, Noise Cancelling Wireless Earbuds, 7-Sensor and Real-Time Adaptive Noise Cancelling, 2× Faster Charging, Studio-Level Hi-Fi Music, Clear Calls with 6 Mics and AI",B0DCBTWXLM,5.0,انا مكنتش متوقع انى السماعه ممتازه ومواصفتها ممتازه بجد سماعه رائعه,"4,300",انا مكنتش متوقع انى السماعه ممتازه ومواصفتها ممتازه بجد سماعه رائعه,إيجابي
"soundcore Liberty 4 Pro by Anker, Noise Cancelling Wireless Earbuds, 7-Sensor and Real-Time Adaptive Noise Cancelling, 2× Faster Charging, Studio-Level Hi-Fi Music, Clear Calls with 6 Mics and AI",B0DCBTWXLM,5.0,اصلي و رايقه,"4,300",اصلي و رايقه,إيجابي
"soundcore Liberty 4 Pro by Anker, Noise Cancelling Wireless Earbuds, 7-Sensor and Real-Time Adaptive Noise Cancelling, 2× Faster Charging, Studio-Level Hi-Fi Music, Clear Calls with 6 Mics and AI",B0DCBTWXLM,5.0,جميلة و اصلية,"4,300",جميلة و اصلية,إيجابي
"soundcore Liberty 4 Pro by Anker, Noise Cancelling Wireless Earbuds, 7-Sensor and Real-Time Adaptive Noise Cancelling, 2× Faster Charging, Studio-Level Hi-Fi Music, Clear Calls with 6 Mics and AI",B0DCBTWXLM,1.0,وصلني لون مختلف وصلني اللون الاسود الغامق وليس اللون الاسود اللامع ودي حاجه رخمه جدا,"4,300",وصلني لون مختلف وصلني اللون الاسود الغامق وليس اللون الاسود اللامع ودي حاجه رخمه جدا,سلبي
"soundcore Liberty 4 Pro by Anker, Noise Cancelling Wireless Earbuds, 7-Sensor and Real-Time Adaptive Noise Cancelling, 2× Faster Charging, Studio-Level Hi-Fi Music, Clear Calls with 6 Mics and AI",B0DCBTWXLM,3.0,"العلبه الي جي فيها السماعه كانت متجرحه من الجانب ، اكنها كانت مركونة قبل متجيلي
بس مفيش مشاكل تانيه","4,300",العلبه الي جي فيها السماعه كانت متجرحه من الجانب اكنها كانت مركونة قبل متجيلي بس مفيش مشاكل تانيه,سلبي
"soundcore Liberty 4 Pro by Anker, Noise Cancelling Wireless Earbuds, 7-Sensor and Real-Time Adaptive Noise Cancelling, 2× Faster Charging, Studio-Level Hi-Fi Music, Clear Calls with 6 Mics and AI",B0DCBTWXLM,5.0,"طبعا أنا جبت السماعه تاني يوم قلت من تمنها ٢٠٠ جنيه
نسخه ال ٣برو كانت اشيك من حيث التغليف و العلبه
نسخه ٤ برو علبه اصغر و صغير

علي مستوي السماعه نفسه اداء قوي اوي وسماعه فلاج شيب بمعني الكلمه تنافس سماعات ب اكثر من ١٠ آلاف جنيه","4,300",طبعا أنا جبت السماعه تاني يوم قلت من تمنها جنيه نسخه ال برو كانت اشيك من حيث التغليف و العلبه نسخه برو علبه اصغر و صغير علي مستوي السماعه نفسه اداء قوي اوي وسماعه فلاج شيب بمعني الكلمه تنافس سماعات ب اكثر من آلاف جنيه,إيجابي
