product_id,product_name,AVG_price,AVG_rates,num_pos_reviews,num_nat_reviews,num_neg_reviews,total_reviews
B01N0Z1YKE,"Xiaomi Mi In-Ear Earphones Basic with High-Fidelity Sound, Built-in Microphone, and Comfortable Silicone Ear Tips in Black for Enhanced Audio Quality and Clear Calls",344.0,4.17,63,7,5,75
B07VQ6YNQZ,"ABKONCORE B58ABKONCORE B581 USB Gaming Headset with 7.1 Surround Sound, PC Headset with Noise Cancelling Microphone, LED Light Headphones for PC, Laptop",550.0,4.15,10,3,0,13
B096N9YPC8,M10 New M10 TWS Immersive Wireless Earbuds with Wireless Charging Case Bluetooth 5.1 9D Premium Sound Deep Bass Sports Waterproof IPX7 with Mic 6 hr Playing Time,157.0,2.63,41,12,41,94
B09K7MM86Z,"Anker soundcore life u2i bluetooth neckband with 22 h playtime, 10 mm drivers,clear calls , usb-c fast charging, foldable & lightweight build, ipx5 waterproof - black-18 months local warranty",677.0,3.95,64,12,12,88
B0BYWK5TD6,"JBL Tune 520BT Wireless On-Ear Headphones, Pure Bass Sound, 57H Battery with Speed Charge, Hands-Free Call + Voice Aware, Multi-Point Connection, Lightweight and Foldable - Blue, JBLT520BTBLUEU",1830.0,4.42,36,0,2,38
B0BZV4QFP8,"Anker soundcore Liberty 4 NC Wireless, 98.5% Noise Reduction, Adaptive Noise Cancelling to Ears 50H Battery, Wireless Charging, Bluetooth 5.3+ 18 Months Local Warranty - Black",2550.0,3.33,46,6,18,70
B0C4JRWJGM,"Earbuds Air31, Wireless, Wired Earphones Transparent with Deep Bass, Stereo Sound, Bluetooth Headphone with Charging Case, White, Black and Pink (black)",238.0,1.89,12,4,31,47
B0C7CQT9ZS,"Anker Soundcore VI R50i True Wireless Earbuds with 10mm Drivers for Powerful Bass, Bluetooth 5.3, Long Playtime (30 Hours), Water Resistant, 2 Clear Mics, and 22 Preset EQs,18 Months Warranty",864.0,4.31,72,12,0,84
B0C8TGCVL1,"Oraimo FreePods 3C (OEB-E104DC), ENC Calling Noise Cancellation, powerful bass 4 mics, Long Playtime True Wireless Earbuds IPX5-Water Resistant, Via App – Black (1 Year Warranty)",899.0,3.93,66,11,11,88
B0C9MNT48D,"Anker Soundcore R50i Black True Wireless Earbuds with 10mm Drivers, Big Bass, Bluetooth 5.3, 30H Playtime, IPX5 Water Resistant, AI Clear Calls, 2 Mics, 18 Months Warranty, Black",825.0,4.18,70,9,5,84
